id,name,latitude,longitude,dpcapacity,dateCreated,online date_x,online date_y
5,State St & Harrison St,41.87395806,-87.62773949,19,2013-06-10 10:46:00,2013-06-18,2013-06-18
13,Wilton Ave & Diversey Pkwy,41.93250008,-87.65268082,19,2013-06-22 18:29:00,2013-06-20,2013-06-20
14,Morgan St & 18th St,41.858086,-87.651073,15,2013-06-22 18:33:00,2013-06-20,2013-06-20
15,Racine Ave & 19th St,41.856453,-87.656471,15,2013-06-22 18:35:00,2013-06-20,2013-06-20
16,Wood St & North Ave,41.910329,-87.672516,15,2013-06-22 18:55:00,2013-08-12,2013-08-12
17,Wood St & Division St,41.90332,-87.67273,15,2013-06-22 18:58:00,2013-06-20,2013-06-20
19,Loomis St & Taylor St,41.869417,-87.660996,15,2013-06-22 19:03:00,2013-06-21,2013-06-21
20,Sheffield Ave & Kingsbury St,41.90959193,-87.65349723,15,2013-06-22 19:04:00,2013-06-21,2013-06-21
21,Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,15,2013-06-22 19:07:00,2013-06-21,2013-06-21
22,May St & Taylor St,41.8694821,-87.6554864,15,2013-06-22 19:09:00,2013-06-21,2013-06-21
23,Orleans St & Elm St,41.902924,-87.637715,15,2013-06-22 20:20:00,2013-06-21,2013-06-21
24,Fairbanks Ct & Grand Ave,41.89186,-87.62062,15,2013-06-22 20:23:00,2013-06-21,2013-06-21
25,Michigan Ave & Pearson St,41.89766,-87.62351,23,2013-06-22 20:26:00,2013-06-22,2013-06-22
26,McClurg Ct & Illinois St,41.89102,-87.6173,23,2013-06-22 20:28:00,2013-06-22,2013-06-22
27,Larrabee St & North Ave,41.91021,-87.6435,19,2013-06-22 20:31:00,2013-06-22,2013-06-22
28,Larrabee St & Menomonee St,41.91468,-87.64332,15,2013-06-22 20:38:00,2013-06-22,2013-06-22
29,Noble St & Milwaukee Ave,41.90068,-87.6626,15,2013-06-22 20:52:00,2013-06-22,2013-06-22
30,Ashland Ave & Augusta Blvd,41.899643,-87.6677,15,2013-06-22 20:54:00,2013-06-22,2013-06-22
31,Franklin St & Chicago Ave,41.89680204,-87.63563839,23,2013-06-22 20:58:00,2013-06-22,2013-06-22
32,Racine Ave & Congress Pkwy,41.87464,-87.65703,19,2013-06-22 21:00:00,2013-06-21,2013-06-21
33,State St & Van Buren St,41.877181,-87.627844,27,2013-06-22 21:06:00,2013-06-25,2013-06-25
34,Cannon Dr & Fullerton Ave,41.92675599,-87.63442878,15,2013-06-22 21:09:00,2013-06-27,2013-06-27
35,Streeter Dr & Illinois St,41.891071,-87.6122,35,2013-06-22 21:12:00,2013-08-05,2013-08-05
36,Franklin St & Jackson Blvd,41.87770796,-87.63532114,27,2013-06-24 23:34:00,2013-06-15,2013-06-15
37,Dearborn St & Adams St,41.87935636,-87.62979104,19,2013-06-25 01:12:00,2013-06-16,2013-06-16
42,Wabash Ave & Cermak Rd,41.85323876,-87.62533709,15,2013-06-25 07:38:00,2013-06-18,2013-06-18
43,Michigan Ave & Washington St,41.88389277,-87.62464914,43,2013-06-25 10:57:00,2013-06-16,2013-06-16
44,State St & Randolph St,41.8847302,-87.62773357,27,2013-06-25 10:59:00,2013-06-16,2013-06-16
45,Michigan Ave & Congress Pkwy,41.8760656,-87.62443336,15,2013-06-25 11:01:00,2013-06-16,2013-06-16
